id,source,source_id,image_path,image_url,artist,style,genre,emotion,description,composition,color_harmony,contrast,lighting,perspective,critique_notes,split
ACD_000001,wikiart,Post_Impressionism/moise-kisling_girl-with-green-shawl-1919.jpg,data/processed/wikiart_subset/images/ACD_000001.jpg,,Moise Kisling,Post Impressionism,Post Impressionism,,girl with green shawl 1919,,,,,,,train
ACD_000002,wikiart,Baroque/agostino-carracci_landscape-with-bathers-1599.jpg,data/processed/wikiart_subset/images/ACD_000002.jpg,,Agostino Carracci,Baroque,Baroque,,landscape with bathers 1599,,,,,,,train
ACD_000003,wikiart,Post_Impressionism/david-burliuk_futurist-still-life-with-cactus-1928.jpg,data/processed/wikiart_subset/images/ACD_000003.jpg,,David Burliuk,Post Impressionism,Post Impressionism,,futurist still life with cactus 1928,,,,,,,train
ACD_000004,wikiart,Early_Renaissance/carlo-crivelli_enthroned-madonna-1473.jpg,data/processed/wikiart_subset/images/ACD_000004.jpg,,Carlo Crivelli,Early Renaissance,Early Renaissance,,enthroned madonna 1473,,,,,,,train
ACD_000005,wikiart,Color_Field_Painting/richard-diebenkorn_ocean-park-no-21.jpg,data/processed/wikiart_subset/images/ACD_000005.jpg,,Richard Diebenkorn,Color Field Painting,Color Field Painting,,ocean park no 21,,,,,,,train
ACD_000006,wikiart,Realism/arkhip-kuindzhi_forgotten-village-1873.jpg,data/processed/wikiart_subset/images/ACD_000006.jpg,,Arkhip Kuindzhi,Realism,Realism,,forgotten village 1873,,,,,,,train
ACD_000007,wikiart,Post_Impressionism/maxime-maufra_morning-in-the-oasis-of-alkantra-1913.jpg,data/processed/wikiart_subset/images/ACD_000007.jpg,,Maxime Maufra,Post Impressionism,Post Impressionism,,morning in the oasis of alkantra 1913,,,,,,,train
ACD_000008,wikiart,Contemporary_Realism/eric-fischl_the-start-of-a-fairy-tale.jpg,data/processed/wikiart_subset/images/ACD_000008.jpg,,Eric Fischl,Contemporary Realism,Contemporary Realism,,the start of a fairy tale,,,,,,,train
ACD_000009,wikiart,Art_Nouveau_Modern/mikhail-vrubel_a-lady-in-lilac-portrait-of-nadezhda-zabela.jpg,data/processed/wikiart_subset/images/ACD_000009.jpg,,Mikhail Vrubel,Art Nouveau Modern,Art Nouveau Modern,,a lady in lilac portrait of nadezhda zabela,,,,,,,train
ACD_000010,wikiart,Synthetic_Cubism/juan-gris_the-sideboard-1917.jpg,data/processed/wikiart_subset/images/ACD_000010.jpg,,Juan Gris,Synthetic Cubism,Synthetic Cubism,,the sideboard 1917,,,,,,,train
ACD_000011,wikiart,Abstract_Expressionism/mostafa-dashti_untitled-2008.jpg,data/processed/wikiart_subset/images/ACD_000011.jpg,,Mostafa Dashti,Abstract Expressionism,Abstract Expressionism,,untitled 2008,,,,,,,train
ACD_000012,wikiart,Fauvism/hans-hofmann_yellow-table-on-green-1936.jpg,data/processed/wikiart_subset/images/ACD_000012.jpg,,Hans Hofmann,Fauvism,Fauvism,,yellow table on green 1936,,,,,,,train
ACD_000013,wikiart,Rococo/allan-ramsay_portrait-of-janet-dick.jpg,data/processed/wikiart_subset/images/ACD_000013.jpg,,Allan Ramsay,Rococo,Rococo,,portrait of janet dick,,,,,,,train
ACD_000014,wikiart,Baroque/adriaen-van-ostade_piping-and-drinking-in-the-tavern.jpg,data/processed/wikiart_subset/images/ACD_000014.jpg,,Adriaen Van Ostade,Baroque,Baroque,,piping and drinking in the tavern,,,,,,,train
ACD_000015,wikiart,Post_Impressionism/paul-gauguin_fire-dance-1891.jpg,data/processed/wikiart_subset/images/ACD_000015.jpg,,Paul Gauguin,Post Impressionism,Post Impressionism,,fire dance 1891,,,,,,,train
ACD_000016,wikiart,Realism/john-collier_spring-at-cadenabbia.jpg,data/processed/wikiart_subset/images/ACD_000016.jpg,,John Collier,Realism,Realism,,spring at cadenabbia,,,,,,,train
ACD_000017,wikiart,Color_Field_Painting/morris-louis_blue-veil-1958.jpg,data/processed/wikiart_subset/images/ACD_000017.jpg,,Morris Louis,Color Field Painting,Color Field Painting,,blue veil 1958,,,,,,,train
ACD_000018,wikiart,Action_painting/norman-bluhm_aritic-1959.jpg,data/processed/wikiart_subset/images/ACD_000018.jpg,,Norman Bluhm,Action Painting,Action painting,,aritic 1959,,,,,,,train
ACD_000019,wikiart,Northern_Renaissance/lucas-cranach-the-elder_old-man-and-young-woman.jpg,data/processed/wikiart_subset/images/ACD_000019.jpg,,Lucas Cranach The Elder,Northern Renaissance,Northern Renaissance,,old man and young woman,,,,,,,train
ACD_000020,wikiart,Rococo/giovanni-battista-tiepolo_nativity-1732.jpg,data/processed/wikiart_subset/images/ACD_000020.jpg,,Giovanni Battista Tiepolo,Rococo,Rococo,,nativity 1732,,,,,,,train
ACD_000021,wikiart,New_Realism/george-luks_city-scene.jpg,data/processed/wikiart_subset/images/ACD_000021.jpg,,George Luks,New Realism,New Realism,,city scene,,,,,,,train
ACD_000022,wikiart,Post_Impressionism/marcel-duchamp_paradise-adam-and-eve.jpg,data/processed/wikiart_subset/images/ACD_000022.jpg,,Marcel Duchamp,Post Impressionism,Post Impressionism,,paradise adam and eve,,,,,,,train
ACD_000023,wikiart,Naive_Art_Primitivism/niko-pirosmani_religious-holiday-in-kartli-central-georgia.jpg,data/processed/wikiart_subset/images/ACD_000023.jpg,,Niko Pirosmani,Naive Art Primitivism,Naive Art Primitivism,,religious holiday in kartli central georgia,,,,,,,train
